Date,amount_dispensed,t_minus_1,t_minus_2,t_minus_3,t_minus_7,weekday,month,pm25,pm10
2021-02-05,320.0,1680.0,940.0,320.0,460.0,4,2,16.0,
2021-02-06,840.0,320.0,1680.0,940.0,260.0,5,2,23.0,
2021-02-07,660.0,840.0,320.0,1680.0,340.0,6,2,27.0,
2021-02-08,0.0,660.0,840.0,320.0,460.0,0,2,27.0,
2021-02-09,460.0,0.0,660.0,840.0,320.0,1,2,32.0,
2021-02-10,320.0,460.0,0.0,660.0,940.0,2,2,30.0,
2021-02-11,260.0,320.0,460.0,0.0,1680.0,3,2,37.0,
2021-02-12,240.0,260.0,320.0,460.0,320.0,4,2,24.0,
2021-02-13,220.0,240.0,260.0,320.0,840.0,5,2,19.0,
2021-02-14,0.0,220.0,240.0,260.0,660.0,6,2,16.0,
2021-02-15,300.0,0.0,220.0,240.0,0.0,0,2,23.0,
2021-02-16,20.0,300.0,0.0,220.0,460.0,1,2,31.0,
2021-02-17,500.0,20.0,300.0,0.0,320.0,2,2,42.0,
2021-02-18,220.0,500.0,20.0,300.0,260.0,3,2,40.0,
2021-02-19,340.0,220.0,500.0,20.0,240.0,4,2,48.0,
2021-02-20,40.0,340.0,220.0,500.0,220.0,5,2,28.0,
2021-02-21,20.0,40.0,340.0,220.0,0.0,6,2,47.0,
2021-02-22,400.0,20.0,40.0,340.0,300.0,0,2,15.0,
2021-02-23,360.0,400.0,20.0,40.0,20.0,1,2,11.0,
2021-02-24,180.0,360.0,400.0,20.0,500.0,2,2,15.0,
2021-02-25,200.0,180.0,360.0,400.0,220.0,3,2,34.0,
2021-02-26,500.0,200.0,180.0,360.0,340.0,4,2,21.0,
2021-02-27,680.0,500.0,200.0,180.0,40.0,5,2,,
2021-02-28,80.0,680.0,500.0,200.0,20.0,6,2,,
2021-03-01,120.0,80.0,680.0,500.0,400.0,0,3,,
2021-03-02,400.0,120.0,80.0,680.0,360.0,1,3,19.0,
2021-03-03,520.0,400.0,120.0,80.0,180.0,2,3,22.0,
2021-03-04,820.0,520.0,400.0,120.0,200.0,3,3,47.0,
2021-03-05,0.0,820.0,520.0,400.0,500.0,4,3,38.0,
2021-03-06,220.0,0.0,820.0,520.0,680.0,5,3,35.0,
2021-03-07,80.0,220.0,0.0,820.0,80.0,6,3,21.0,
2021-03-08,900.0,80.0,220.0,0.0,120.0,0,3,22.0,
2021-03-09,40.0,900.0,80.0,220.0,400.0,1,3,35.0,
2021-03-10,20.0,40.0,900.0,80.0,520.0,2,3,45.0,
2021-03-11,700.0,20.0,40.0,900.0,820.0,3,3,40.0,
2021-03-12,280.0,700.0,20.0,40.0,0.0,4,3,38.0,
2021-03-13,400.0,280.0,700.0,20.0,220.0,5,3,42.0,
2021-03-14,560.0,400.0,280.0,700.0,80.0,6,3,55.0,
2021-03-15,1300.0,560.0,400.0,280.0,900.0,0,3,51.0,
2021-03-16,980.0,1300.0,560.0,400.0,40.0,1,3,27.0,
2021-03-17,1100.0,980.0,1300.0,560.0,20.0,2,3,26.0,
2021-03-18,2040.0,1100.0,980.0,1300.0,700.0,3,3,46.0,
2021-03-19,480.0,2040.0,1100.0,980.0,280.0,4,3,31.0,
2021-03-20,1260.0,480.0,2040.0,1100.0,400.0,5,3,15.0,
2021-03-21,400.0,1260.0,480.0,2040.0,560.0,6,3,20.0,
2021-03-22,460.0,400.0,1260.0,480.0,1300.0,0,3,15.0,
2021-03-23,60.0,460.0,400.0,1260.0,980.0,1,3,19.0,6.0
2021-03-24,240.0,60.0,460.0,400.0,1100.0,2,3,21.0,5.0
2021-03-25,660.0,240.0,60.0,460.0,2040.0,3,3,22.0,7.0
2021-03-26,1200.0,660.0,240.0,60.0,480.0,4,3,24.0,9.0
2021-03-27,840.0,1200.0,660.0,240.0,1260.0,5,3,22.0,10.0
2021-03-28,200.0,840.0,1200.0,660.0,400.0,6,3,24.0,47.0
2021-03-29,1100.0,200.0,840.0,1200.0,460.0,0,3,33.0,
2021-03-30,440.0,1100.0,200.0,840.0,60.0,1,3,,
2021-03-31,800.0,440.0,1100.0,200.0,240.0,2,3,,
2021-04-01,740.0,800.0,440.0,1100.0,660.0,3,4,,20.0
2021-04-02,1540.0,740.0,800.0,440.0,1200.0,4,4,32.0,21.0
2021-04-03,260.0,1540.0,740.0,800.0,840.0,5,4,34.0,18.0
2021-04-04,1320.0,260.0,1540.0,740.0,200.0,6,4,36.0,12.0
2021-04-05,620.0,1320.0,260.0,1540.0,1100.0,0,4,25.0,10.0
2021-04-06,620.0,620.0,1320.0,260.0,440.0,1,4,20.0,18.0
2021-04-07,780.0,620.0,620.0,1320.0,800.0,2,4,33.0,24.0
2021-04-08,680.0,780.0,620.0,620.0,740.0,3,4,39.0,9.0
2021-04-09,960.0,680.0,780.0,620.0,1540.0,4,4,16.0,11.0
