date, pm25, pm10
2019/3/9, 35, 12
2019/3/10, 29, 16
2019/3/11, 45, 16
2019/3/12, 40, 8
2019/3/13, 31, 11
2019/3/14, 39, 28
2019/3/15, 41, 41
2019/3/16, 35, 38
2019/3/17, 36, 31
2019/3/18, 38, 74
2019/3/19, 40, 69
2019/3/20, 36, 57
2019/3/21, 28, 46
2019/3/22, 41, 36
2019/3/23, 36, 20
2019/3/24, 26, 16
2019/3/25, 32, 34
2019/3/26, 22, 15
2019/3/27, 22, 34
2019/3/28, 22, 21
2019/3/29, 21, 33
2019/3/30, 37, 23
2019/3/31, 40, 16
2019/4/1, 33, 28
2018/10/2, 26, 100
2018/10/3, 37, 16
2018/10/4, 17, 17
2018/10/5, 22, 32
2018/10/6, 28, 10
2018/10/7, 29, 13
2018/10/8, 43, 13
2018/10/9, 42, 6
2018/10/10, 20, 18
2018/10/11, 18, 26
2018/10/12, 25, 25
2018/10/13, 32, 16
2018/10/14, 28, 15
2018/10/15, 42, 25
2018/10/16, 37, 34
2018/10/17, 48, 42
2018/10/18, 55, 39
2018/10/19, 62, 41
2018/10/20, 61, 34
2018/10/21, 62, 37
2018/10/22, 62, 43
2018/10/23, 62, 49
2018/10/24, 55, 27
2018/10/25, 44, 22
2018/10/26, 28, 10
2018/10/27, 16, 13
2018/10/28, 28, 8
2018/10/29, 26, 11
2018/10/30, 21, 11
2018/10/31, 29, 13
2018/11/1, 33, 20
2018/11/2, 35, 11
2018/11/3, 11, 8
2018/11/4, 18, 8
2018/11/5, 17, 12
2018/11/6, 15, 12
2018/11/7, 15, 21
2018/11/8, 43, 26
2018/11/9, 60, 32
2018/11/10, 80, 19
2018/11/11, 76, 25
2018/11/12, 86, 25
2018/11/13, 77, 24
2018/11/14, 72, 25
2018/11/15, 69, 35
2018/11/16, 89, 26
2018/11/17, 60, 23
2018/11/18, 49, 33
2018/11/19, 88, 34
2018/11/20, 76, 36
2018/11/21, 69, 29
2018/11/22, 65, 15
2018/11/23, 45, 5
2018/11/24, 15, 9
2018/11/25, 26, 12
2018/11/26, 45, 14
2018/11/27, 41, 7
2018/11/28, 23, 13
2018/11/29, 34, 19
2018/11/30, 45, 13
2018/12/1, 43, 12
2018/12/2, 48, 14
2018/12/3, 56, 17
2018/12/4, 45, 13
2018/12/5, 57, 17
2018/12/6, 60, 21
2018/12/7, 55, 20
2018/12/8, 50, 22
2018/12/9, 51, 21
2018/12/10, 47, 10
2018/12/11, 44, 6
2018/12/12, 22, 7
2018/12/13, 13, 12
2018/12/14, 10, 22
2018/12/15, 23, 21
2018/12/16, 21, 8
2018/12/17, 18, 13
2018/12/20, 28, 15
2018/12/21, 19, 14
2018/12/22, 25, 21
2018/12/23, 31, 8
2018/12/24, 18, 9
2018/12/25, 31, 6
2018/12/26, 26, 9
2018/12/27, 30, 8
2018/12/28, 32, 5
2018/12/29, 21, 4
2018/12/30, 10, 9
2018/12/31, 20, 
2018/7/2, 11, 18
2018/7/3, 14, 14
2018/7/4, 12, 13
2018/7/5, 21, 27
2018/7/6, 19, 31
2018/7/7, 37, 17
2018/7/8, 19, 17
2018/7/9, 21, 27
2018/7/10, 23, 32
2018/7/11, 22, 16
2018/7/12, 24, 19
2018/7/13, 21, 34
2018/7/14, 26, 18
2018/7/15, 22, 18
2018/7/16, 24, 28
2018/7/17, 28, 35
2018/7/18, 34, 39
2018/7/19, 46, 33
2018/7/20, 31, 50
2018/7/21, 60, 28
2018/7/22, 39, 19
2018/7/23, 24, 24
2018/7/24, 28, 36
2018/7/25, 35, 39
2018/7/26, 44, 37
2018/7/27, 53, 34
2018/7/28, 56, 26
2018/7/29, 47, 25
2018/7/30, 49, 32
2018/7/31, 53, 40
2018/8/1, 59, 47
2018/8/2, 48, 36
2018/8/3, 32, 41
2018/8/4, 49, 34
2018/8/5, 61, 28
2018/8/6, 53, 35
2018/8/7, 57, 53
2018/8/8, 80, 53
2018/8/9, 98, 54
2018/8/10, 98, 59
2018/8/11, 108, 58
2018/8/12, 63, 30
2018/8/13, 55, 68
2018/8/14, 135, 70
2018/8/15, 152, 77
2018/8/16, 143, 70
2018/8/17, 134, 60
2018/8/18, 94, 42
2018/8/19, 70, 140
2018/8/20, 216, 121
2018/8/21, 208, 59
2018/8/22, 132, 62
2018/8/23, 122, 76
2018/8/24, 142, 62
2018/8/25, 88, 42
2018/8/26, 74, 35
2018/8/27, 76, 14
2018/8/28, 33, 17
2018/8/29, 28, 31
2018/8/30, 34, 46
2018/8/31, 65, 29
2018/9/1, 26, 23
2018/9/2, 27, 25
2018/9/3, 36, 20
2018/9/4, 41, 46
2018/9/5, 74, 42
2018/9/6, 64, 52
2018/9/7, 59, 46
2018/9/8, 56, 35
2018/9/9, 36, 18
2018/9/10, 22, 34
2018/9/11, 16, 17
2018/9/12, 14, 18
2018/9/13, 16, 22
2018/9/14, 17, 24
2018/9/15, 28, 20
2018/9/16, 36, 27
2018/9/17, 20, 17
2018/9/18, 15, 20
2018/9/19, 21, 28
2018/9/20, 28, 29
2018/9/21, 18, 34
2018/9/22, 21, 37
2018/9/23, 15, 15
2018/9/24, 13, 19
2018/9/25, 16, 28
2018/9/26, 22, 36
2018/9/27, 25, 29
2018/9/28, 24, 20
2018/9/29, 15, 19
2018/9/30, 19, 14
2018/10/1, 20, 32
2018/4/2, 28, 
2018/4/3, 14, 
2018/4/4, 16, 
2018/4/5, 24, 
2018/4/6, 18, 
2018/4/7, 18, 
2018/4/8, 18, 
2018/4/9, 9, 
2018/4/10, 13, 
2018/4/11, 16, 
2018/4/12, 19, 
2018/4/13, 11, 
2018/4/14, 13, 
2018/4/15, 21, 
2018/4/16, 18, 
2018/4/17, 12, 
2018/4/18, 12, 
2018/4/19, 17, 
2018/4/20, 24, 
2018/4/21, 26, 
2018/4/22, 14, 
2018/4/23, 21, 
2018/4/24, 29, 
2018/4/25, 34, 
2018/4/26, 40, 
2018/4/27, 41, 
2018/4/28, 48, 
2018/4/29, 20, 
2018/4/30, 18, 
2018/5/1, 20, 
2018/5/2, 23, 
2018/5/3, 23, 
2018/5/4, 27, 
2018/5/5, 27, 
2018/5/6, 30, 
2018/5/7, 31, 
2018/5/8, 20, 
2018/5/9, 31, 
2018/5/10, 21, 
2018/5/11, 11, 
2018/5/12, 20, 
2018/5/13, 28, 
2018/5/14, 35, 27
2018/5/15, 37, 29
2018/5/16, 40, 26
2018/5/17, 26, 13
2018/5/18, 31, 9
2018/5/19, 17, 9
2018/5/20, 22, 12
2018/5/21, 23, 18
2018/5/22, 21, 19
2018/5/23, 24, 19
